datetime,low,high,open,close,volumefrom,volumeto
01/12/2017 03:00,428.03,433.49,432.98,431,3894,1679163.66
01/12/2017 04:00,428.14,435,431,434.14,3975.29,1720582.16
01/12/2017 05:00,423.2,434.14,434.14,424.42,5295.75,2266443.99
01/12/2017 06:00,422,427.22,424.42,423.24,3929.53,1669395.25
01/12/2017 07:00,423.24,423.24,423.24,423.24,0,0
01/12/2017 08:00,421.58,430,423.24,425.89,3329.51,1419699.96
01/12/2017 09:00,425.89,434.27,425.89,434.27,4275.67,1842200.1
01/12/2017 10:00,430,436,434.27,430.19,4623.6,1998620.45
01/12/2017 11:00,430.17,434.6,430.19,434.2,4127.76,1787561.78
01/12/2017 12:00,433.62,444.86,434.2,443.03,11028.63,4859431.56
01/12/2017 13:00,443.03,458,443.03,457.9,16945.7,7655801.53
01/12/2017 14:00,446,458,457.9,451,12595.78,5700243.44
01/12/2017 15:00,446.2,451,451,449,8986.9,4027856.04
01/12/2017 16:00,447.26,454,449,452.24,9772.56,4401582.53
01/12/2017 17:00,450.13,453.2,452.24,452.14,8868.9,4008631.78
01/12/2017 18:00,450.7,453.88,452.14,452.63,6441.44,2917055.16
01/12/2017 19:00,451.16,457.51,452.63,456,12808.93,5821744.88
01/12/2017 20:00,456,466.72,456,465.79,15136.38,6998919.91
01/12/2017 21:00,461.88,468.43,465.79,466.74,11733.95,5458939.56
01/12/2017 22:00,458.12,467,466.74,461.89,12366.13,5732667.44
01/12/2017 23:00,458.5,464,461.89,463.82,7867.19,3627284.79
02/12/2017 00:00,463.81,467.99,463.82,465.52,11434.95,5330315.63
02/12/2017 01:00,464.12,473.37,465.52,473.33,16068.24,7534878.3
02/12/2017 02:00,465.6,473.7,473.33,471.88,11381.32,5353001.71
02/12/2017 03:00,469.61,471.9,471.88,470.02,6262.23,2947559.86
02/12/2017 04:00,462.5,471,470.02,468.05,8243.5,3850060.1
02/12/2017 05:00,468.04,471.56,468.05,471.56,6516.58,3061213.72
02/12/2017 06:00,470.03,474.96,471.56,470.51,6667.58,3149728.13
02/12/2017 07:00,466.01,472,470.51,467.11,4819.96,2263631.29
02/12/2017 08:00,463.59,467.12,467.11,464.4,5158.1,2402557.17
02/12/2017 09:00,464.39,471.9,464.4,471.13,3762.26,1758675.94
02/12/2017 10:00,465.83,471.82,471.13,466.24,2380.54,1119113.26
02/12/2017 11:00,461,468.43,466.24,462.25,5791.27,2680953
02/12/2017 12:00,461.1,466.95,462.25,463.79,3401.12,1576639.88
02/12/2017 13:00,462.62,466.63,463.79,463.5,4383.53,2036897.08
02/12/2017 14:00,451.21,464.5,463.5,459.45,13165.5,6032715.96
02/12/2017 15:00,453.79,461.95,459.45,454.8,6192.81,2832802.78
02/12/2017 16:00,454.07,459.7,454.8,459.69,5130.19,2339976.68
02/12/2017 17:00,457.8,462.9,459.69,461.99,6618.2,3049644.16
02/12/2017 18:00,461.76,464.37,461.99,462.66,4054.51,1878468.13
02/12/2017 19:00,461.25,463.1,462.68,461.59,5552.17,2566468.65
02/12/2017 20:00,459.1,462.59,461.59,460.1,4153.93,1913881.23
02/12/2017 21:00,460.06,462.5,460.1,462.48,3789.13,1747957.13
02/12/2017 22:00,460.23,462.8,462.48,461.26,4410.63,2036221.82
02/12/2017 23:00,460,462.04,461.26,460.34,4021.09,1853078.85
03/12/2017 00:00,456.31,462.24,460.34,459.27,3603.21,1659596.85
03/12/2017 01:00,456.9,460.64,459.27,460.63,2595.55,1190621.97
03/12/2017 02:00,460.39,462,460.63,460.49,2841.3,1309753.42
03/12/2017 03:00,457.9,460.49,460.49,459.1,3364.63,1543427.31
03/12/2017 04:00,459.08,462.42,459.1,462.02,3480.35,1604422.82
03/12/2017 05:00,460.63,462.73,462.02,462.19,2454.07,1132930.4
03/12/2017 06:00,462.19,464.98,462.19,464.48,3247.41,1507338.94
03/12/2017 07:00,464.33,466,464.48,465.99,4030.68,1875695.41
